Date,Price,High,Low,Close
05/19/23, 86.60, 87.59, 85.43, 86.55
05/18/23, 87.07, 87.18, 85.97, 86.59
05/17/23, 87.45, 88.01, 86.41, 87.04
05/16/23, 86.75, 87.87, 85.88, 87.73
05/15/23, 84.04, 86.96, 83.91, 86.77
05/12/23, 84.07, 85.32, 83.25, 84.29
05/11/23, 83.59, 85.33, 82.23, 84.05
05/10/23, 85.19, 85.85, 83.28, 83.60
05/09/23, 85.56, 86.38, 84.82, 85.17
05/08/23, 86.73, 86.73, 84.47, 85.54
05/05/23, 86.46, 86.75, 84.00, 85.75
05/04/23, 87.96, 88.15, 85.58, 86.44
05/03/23, 88.13, 88.38, 86.40, 86.56
05/02/23, 88.58, 88.74, 87.03, 88.12
05/01/23, 89.54, 89.54, 86.89, 87.65
04/28/23, 89.95, 90.36, 86.53, 88.11
04/27/23, 90.69, 90.86, 89.46, 89.99
04/26/23, 89.67, 92.13, 89.43, 90.68
04/25/23, 90.02, 90.36, 88.64, 88.74
04/24/23, 89.51, 92.75, 89.04, 90.02
04/21/23, 89.76, 90.00, 88.96, 89.51
04/20/23, 89.52, 90.00, 88.91, 89.47
04/19/23, 89.80, 89.97, 88.82, 89.51
04/18/23, 89.49, 90.02, 88.60, 89.80
04/17/23, 90.54, 90.77, 89.11, 89.50
04/14/23, 90.27, 90.57, 89.76, 90.45
04/13/23, 90.38, 90.65, 89.18, 90.34
04/12/23, 88.50, 90.83, 88.48, 90.46
04/11/23, 88.76, 90.29, 88.66, 89.00
04/10/23, 89.17, 90.07, 88.27, 88.56
04/07/23, 88.71, 90.99, 88.35, 88.45
04/06/23, 87.45, 89.29, 86.75, 88.67
04/05/23, 86.84, 88.22, 86.75, 87.49
04/04/23, 85.72, 87.51, 85.60, 86.89
04/03/23, 84.81, 85.96, 83.25, 85.41
03/31/23, 84.29, 87.98, 83.84, 84.57
03/30/23, 83.86, 84.37, 82.63, 84.26
03/29/23, 83.03, 84.04, 82.96, 83.81
03/28/23, 82.65, 83.49, 82.34, 83.02
03/27/23, 83.29, 83.33, 82.24, 82.65
03/24/23, 82.32, 83.24, 82.00, 83.16
03/23/23, 83.65, 84.17, 82.28, 82.33
03/22/23, 83.20, 83.97, 82.78, 83.64
03/21/23, 82.82, 83.23, 82.37, 83.19
03/20/23, 82.27, 82.88, 81.92, 82.17
03/17/23, 81.50, 82.47, 81.14, 82.10
03/16/23, 80.97, 82.40, 80.46, 82.31
03/15/23, 81.31, 81.56, 42.58, 80.98
03/14/23, 81.09, 81.61, 80.14, 81.30
03/13/23, 81.09, 81.83, 78.79, 81.08
03/10/23, 80.27, 81.49, 79.96, 81.08
03/09/23, 80.19, 80.79, 79.83, 80.28
03/08/23, 79.76, 80.74, 79.57, 80.20
03/07/23, 80.71, 81.03, 79.48, 79.98
03/06/23, 80.07, 80.86, 79.96, 80.76
03/03/23, 80.04, 80.53, 79.49, 80.50
03/02/23, 80.31, 80.64, 79.44, 80.03
03/01/23, 79.38, 80.48, 79.19, 80.30
02/28/23, 79.50, 80.13, 78.32, 79.37
02/27/23, 80.47, 80.56, 78.72, 79.50
02/24/23, 80.24, 80.95, 79.35, 80.15
02/23/23, 80.00, 80.43, 79.41, 80.23
02/22/23, 79.79, 80.62, 79.08, 80.02
02/21/23, 78.81, 80.68, 77.84, 79.78
02/20/23, 79.34, 81.51, 78.24, 80.68
02/17/23, 79.75, 80.19, 78.48, 79.15
02/16/23, 79.09, 80.37, 79.07, 79.74
02/15/23, 79.02, 80.82, 78.21, 79.63
02/14/23, 78.50, 79.81, 78.47, 79.03
02/13/23, 78.25, 79.71, 77.39, 78.50
02/10/23, 78.45, 79.21, 77.62, 78.81
02/09/23, 77.66, 79.13, 76.79, 78.48
