Store code,the date,Number of sales,Unit cost,Selling price,Store code
1145000,04/01/2015,  3    ,  68    ,  80    ,1143405
1145538,04/01/2015,  1    ,  48    ,  54    ,1143403
1145540,04/01/2015,  2    ,  49    ,  51    ,
1145678,04/01/2015,  3    ,  82    ,  86    ,
1147019,04/01/2015,  2    ,  73    ,  83    ,
1147091,04/01/2015,  1    ,  67    ,  70    ,
1147105,04/01/2015,  1    ,  67    ,  70    ,
1147528,04/01/2015,  1    ,  57    ,  54    ,
1149639,04/01/2015,  2    ,  75    ,  78    ,
1149643,04/01/2015,  1    ,  69    ,  80    ,
1149710,04/01/2015,  3    ,  65    ,  66    ,
1149711,04/01/2015,  1    ,  121    ,  107    ,
1149714,04/01/2015,  2    ,  69    ,  64    ,
1151738,04/01/2015,  1    ,  80    ,  75    ,
1152049,04/01/2015,  1    ,  52    ,  59    ,
1153463,04/01/2015,  1    ,  57    ,  57    ,
1153469,04/01/2015,  1    ,  92    ,  107    ,
1153471,04/01/2015,  1    ,  67    ,  73    ,
1153515,04/01/2015,  1    ,  69    ,  80    ,
1153519,04/01/2015,  3    ,  68    ,  73    ,
1153520,04/01/2015,  1    ,  124    ,  177    ,
1153524,04/01/2015,  2    ,  63    ,  67    ,
1153525,04/01/2015,  2    ,  87    ,  120    ,
1153526,04/01/2015,  1    ,  41    ,  48    ,
1153527,04/01/2015,  1    ,  72    ,  64    ,
1153528,04/01/2015,  1    ,  92    ,  107    ,
1153534,04/01/2015,  2    ,  60    ,  56    ,
1156658,04/01/2015,  1    ,  69    ,  83    ,
1158938,04/01/2015,  1    ,  72    ,  64    ,
1163232,04/01/2015,  1    ,  52    ,  59    ,
1166831,04/01/2015,  2    ,  60    ,  73    ,
1168831,04/01/2015,  1    ,  94    ,  107    ,
1169861,04/01/2015,  1    ,  80    ,  70    ,
1171771,04/01/2015,  1    ,  57    ,  57    ,
1172591,04/01/2015,  1    ,  75    ,  75    ,
1172838,04/01/2015,  1    ,  48    ,  48    ,
1178750,04/01/2015,  1    ,  54    ,  54    ,
1180626,04/01/2015,  2    ,  59    ,  75    ,
1181434,04/01/2015,  1    ,  124    ,  177    ,
1186262,04/01/2015,  2    ,  44    ,  51    ,
1196188,04/01/2015,  2    ,  76    ,  74    ,
1196189,04/01/2015,  1    ,  72    ,  68    ,
1202418,04/01/2015,  2    ,  57    ,  54    ,
1204285,04/01/2015,  2    ,  53    ,  50    ,
1204518,04/01/2015,  1    ,  75    ,  75    ,
1216328,04/01/2015,  1    ,  80    ,  75    ,
1221484,04/01/2015,  2    ,  70    ,  75    ,
1225244,04/01/2015,  1    ,  94    ,  107    ,
1226705,04/01/2015,  1    ,  80    ,  79    ,
1231645,04/01/2015,  1    ,  54    ,  54    ,
1241545,04/01/2015,  3    ,  88    ,  96    ,
1245775,04/01/2015,  4    ,  66    ,  70    ,
1267455,04/01/2015,  3    ,  70    ,  66    ,
1269345,04/01/2015,  2    ,  80    ,  91    ,
1269346,04/01/2015,  1    ,  57    ,  51    ,
1276755,04/01/2015,  1    ,  57    ,  54    ,
1279611,04/01/2015,  1    ,  48    ,  46    ,
1287824,04/01/2015,  2    ,  81    ,  82    ,
1294432,04/01/2015,  1    ,  75    ,  75    ,
1294702,04/01/2015,  2    ,  96    ,  106    ,
1295811,04/01/2015,  1    ,  48    ,  46    ,
1310523,04/01/2015,  3    ,  57    ,  54    ,
1319605,04/01/2015,  1    ,  69    ,  80    ,
1319633,04/01/2015,  1    ,  57    ,  54    ,
1333626,04/01/2015,  1    ,  80    ,  75    ,
1340370,04/01/2015,  1    ,  72    ,  64    ,
1343936,04/01/2015,  1    ,  93    ,  134    ,
1345915,04/01/2015,  1    ,  75    ,  75    ,
1348033,04/01/2015,  1    ,  57    ,  54    ,
1348733,04/01/2015,  1    ,  87    ,  107    ,
1356241,04/01/2015,  1    ,  48    ,  54    ,
1370669,04/01/2015,  3    ,  83    ,  76    ,
1398161,04/01/2015,  2    ,  63    ,  67    ,
1403429,04/01/2015,  1    ,  93    ,  134    ,
1411640,04/01/2015,  1    ,  57    ,  54    ,
1423417,04/01/2015,  1    ,  121    ,  107    ,
1429125,04/01/2015,  3    ,  85    ,  77    ,
